業務人員,,下單客戶,,接單類別,類別名稱,訂單號碼,客戶訂單號碼,接單日,生管交期,訂單交期,訂單金額,未出貨金額,幣別,訂單重量(KG),出貨重量(KG),未出貨重量(KG),結案否,出貨達成率
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,24120015,326081,2024/12/12,2025/3/5,2025/3/19,"46,516.92",0.00,USD,"19,588.26","20,035.00",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25010001,326334,2025/1/6,2025/5/17,2025/5/31,"128,317.84","128,317.84",USD,"13,736.46",0.00,"13,736.46",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25010005,326446,2025/1/14,2025/4/3,2025/4/18,"47,105.28","47,105.28",USD,"19,967.65",0.00,"19,967.65",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25010008,326555,2025/1/22,2025/5/30,2025/6/16,"135,591.68","135,591.68",USD,"14,972.26",0.00,"14,972.26",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25010009,326572,2025/1/23,2025/5/8,2025/5/22,"46,942.08","46,942.08",USD,"20,279.21",0.00,"20,279.21",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25020016,326740,2025/2/7,2025/4/7,2025/4/21,"71,924.96","71,924.96",USD,"21,504.28",0.00,"21,504.28",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25020020,326124,2025/2/12,2025/6/6,2025/6/20,"138,444.24","138,444.24",USD,"18,533.16",0.00,"18,533.16",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030001,327006,2025/3/3,2025/4/7,2025/4/21,"62,087.68",0.00,USD,"17,418.59","17,129.92",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030002,327007,2025/3/3,2025/4/14,2025/4/28,"61,818.24",0.00,USD,"16,499.95","16,119.20",0.00,Y,100%
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030003,327008,2025/3/3,2025/4/14,2025/4/28,"61,930.88","61,930.88",USD,"17,813.17",0.00,"17,813.17",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030005,327009,2025/3/3,2025/4/21,2025/5/5,"61,877.12","61,877.12",USD,"17,264.53",0.00,"17,264.53",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030006,327010,2025/3/3,2025/4/21,2025/5/5,"61,911.68","61,911.68",USD,"17,860.79",0.00,"17,860.79",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030007,327011,2025/3/3,2025/4/28,2025/5/12,"61,835.52","61,835.52",USD,"17,406.43",0.00,"17,406.43",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030008,327012,2025/3/3,2025/4/28,2025/5/12,"61,966.72","61,966.72",USD,"17,969.39",0.00,"17,969.39",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030009,327013,2025/3/3,2025/5/5,2025/5/19,"49,416.32","49,416.32",USD,"14,317.14",0.00,"14,317.14",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030009,327013,2025/3/3,2025/5/5,2025/5/12,"12,499.20","12,499.20",USD,"3,040.13",0.00,"3,040.13",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030011,EB0314074庫存單-5,2025/3/4,2025/8/1,2025/7/18,"72,192.00","72,192.00",USD,"22,320.00",0.00,"22,320.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030011,EB0314074庫存單-5,2025/3/4,2025/7/25,2025/7/18,"72,192.00","72,192.00",USD,"22,320.00",0.00,"22,320.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030011,EB0314074庫存單-5,2025/3/4,2025/7/11,2025/7/18,"72,192.00","72,192.00",USD,"22,320.00",0.00,"22,320.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030011,EB0314074庫存單-5,2025/3/4,2025/7/18,2025/7/18,"72,192.00","72,192.00",USD,"22,320.00",0.00,"22,320.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030011,EB0314074庫存單-5,2025/3/4,2025/8/14,2025/7/18,"108,288.00","108,288.00",USD,"33,480.00",0.00,"33,480.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030011,EB0314074庫存單-5,2025/3/4,2025/8/7,2025/7/18,"72,192.00","72,192.00",USD,"22,320.00",0.00,"22,320.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030012,EB0314104庫存單-5,2025/3/4,2025/8/15,2025/7/18,"78,507.00","78,507.00",USD,"23,801.91",0.00,"23,801.91",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030012,EB0314104庫存單-5,2025/3/4,2025/7/25,2025/7/18,"52,338.00","52,338.00",USD,"15,867.94",0.00,"15,867.94",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030012,EB0314104庫存單-5,2025/3/4,2025/8/1,2025/7/18,"52,338.00","52,338.00",USD,"15,867.94",0.00,"15,867.94",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030012,EB0314104庫存單-5,2025/3/4,2025/8/8,2025/7/18,"52,338.00","52,338.00",USD,"15,867.94",0.00,"15,867.94",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030012,EB0314104庫存單-5,2025/3/4,2025/7/18,2025/7/18,"52,338.00","52,338.00",USD,"15,867.94",0.00,"15,867.94",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030012,EB0314104庫存單-5,2025/3/4,2025/7/11,2025/7/18,"52,338.00","52,338.00",USD,"15,867.94",0.00,"15,867.94",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030013,EB0314148庫存單-5,2025/3/4,2025/7/22,2025/5/23,"8,720.00","8,720.00",USD,"2,012.00",0.00,"2,012.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030013,EB0314148庫存單-5,2025/3/4,2025/7/16,2025/5/23,"6,976.00","6,976.00",USD,"1,609.60",0.00,"1,609.60",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030013,EB0314148庫存單-5,2025/3/4,2025/7/15,2025/5/23,"6,976.00","6,976.00",USD,"1,609.60",0.00,"1,609.60",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25030020,327177,2025/3/19,2025/6/20,2025/7/4,"48,063.24","48,063.24",USD,"21,001.60",0.00,"21,001.60",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25040001,327282,2025/4/1,2025/5/12,2025/5/26,"63,104.00","63,104.00",USD,"17,444.48",0.00,"17,444.48",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25040002,327284,2025/4/1,2025/5/14,2025/5/26,"62,849.92","62,849.92",USD,"17,590.10",0.00,"17,590.10",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25040003,327374,2025/4/1,2025/5/19,2025/6/2,"62,437.76","62,437.76",USD,"17,961.97",0.00,"17,961.97",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25040004,327370,2025/4/1,2025/5/19,2025/6/2,"61,477.76","61,477.76",USD,"18,343.76",0.00,"18,343.76",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25040007,EB0314074庫存單-7,2025/4/7,2025/7/22,2025/7/29,"70,703.04","70,703.04",USD,"21,859.65",0.00,"21,859.65",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25040007,EB0314074庫存單-7,2025/4/7,2025/7/15,2025/7/29,"72,192.00","72,192.00",USD,"22,320.00",0.00,"22,320.00",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25040008,EB0314104庫存單-7,2025/4/7,2025/7/11,2025/7/18,"52,338.00","52,338.00",USD,"15,867.94",0.00,"15,867.94",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25040008,EB0314104庫存單-7,2025/4/7,2025/7/18,2025/7/18,"35,178.00","35,178.00",USD,"10,687.07",0.00,"10,687.07",N,
SP000671,顏劭仲,D09200,NATIONAL NAIL,S,小螺絲,25040009,EB0314108庫存單-7,2025/4/7,2025/7/16,2025/7/23,"2,790.40","2,790.40",USD,643.84,0.00,643.84,N,
SP000678,蔡馨如,C01900,REYHER,S,小螺絲,24050017,3829632-457,2024/5/22,2024/12/27,2025/1/3,725.00,0.00,EUR,362.50,380.56,0.00,Y,100%
SP000678,蔡馨如,C01900,REYHER,S,小螺絲,24070022,3847358-669,2024/7/31,2024/12/6,2025/1/3,"39,737.80",0.00,EUR,"21,320.71","21,721.66",0.00,Y,100%
SP000678,蔡馨如,C01900,REYHER,S,小螺絲,24090003,3856078-457,2024/9/5,2024/12/6,2025/1/3,"7,980.00",0.00,EUR,"4,800.00","4,580.86",0.00,Y,100%
SP000678,蔡馨如,D04000,SIMPSON,S,小螺絲,24050016,4000077786,2024/5/21,2024/12/27,2025/1/3,"2,200.00",0.00,USD,"1,040.00",997.02,0.00,Y,100%
SP000680,吳采駩,B03500,SUNCO,S,小螺絲,25030018,SP20250318-001KK,2025/3/18,2025/6/20,2025/7/4,"2,895.20","2,895.20",USD,862.40,0.00,862.40,N,
SP000680,吳采駩,C00600,PGB,S,小螺絲,24120020,4500062930,2024/12/31,2025/3/31,2025/4/14,"1,105.00",0.00,EUR,517.00,521.55,0.00,Y,100%
SP000680,吳采駩,C00600,PGB,S,小螺絲,24120020,4500062930,2024/12/31,2025/3/18,2025/4/1,"19,410.76",0.00,EUR,"10,847.76","11,133.74",0.00,Y,100%
SP000680,吳采駩,C01900,REYHER,S,小螺絲,24070004,3840180-457,2024/7/4,2024/12/20,2025/1/10,"69,388.20",0.00,EUR,"34,111.86","33,657.75",0.00,Y,100%
